Node,Confidence,Source,Embedding sim,Alternatives
Dsmiv Major Depressive,0.38,keybert,0.649,"depressive symptoms endorsed, lifetime depressive symptoms, experienced diagnosed dsmiv"
Visual Acuity Numerator,0.362,keybert,0.714,"acuity numerator distance, visual acuity denominator, coded eyeglass correction"
Left Eye Color,0.355,keybert,0.652,color eye
Read Letter Test,0.227,keybert,0.485,"reads letters test, letters test, letters test card"
Positive Amphetamines Tests,0.402,keybert,0.734,"positive opiates tests, positive cocaine tests, positive methamphetamine tests"
Breathalyzers Administered Hcp,0.407,keybert,0.787,"any breathalyzers administered, breathalyzers administered, any breathalyzers"
Avg Total Weekday,0.276,keybert,0.529,"avg total weekend, total weekday alcoholic, drinks past days"
Drinks Past Days,0.281,keybert,0.625,"alcoholic drinks past, last hcp visit, total alcoholic drinks"
Dsm Alc Criteria,0.291,keybert,0.577,"criteria dsm sometime, yes dsm criteria, criteria dsm"
Drunk Past Months,0.49,keybert,0.531,"past months frequency, drinks past months, Past Months"
Max Drinks Consumed,0.361,keybert,0.732,"lifetime max drinks, max drinks, female max drinks"
Weekday Pipes Per,0.353,keybert,0.674,"avg weekday pipes, weekday pipes, pipes past days"
Weekday Times Chew,0.355,keybert,0.684,"times chew per, chew past days, weekend times chew"
Weekday Times Snuff,0.263,keybert,0.584,"avg weekend times, avg weekday times, snuff per past"
Total Times Smoked,0.292,keybert,0.622,"visit times smoked, cigarettes past days, times smoked any"
Avg Weekday Cigarettes,0.362,keybert,0.726,"avg weekend cigarettes, avg weekday cigars, weekday cigarettes per"
Years Smoked,0.587,keybert,0.688,smoked years
Fagerstrom Ftnd,0.622,keybert,0.522,"Fagerstrom, fagerstrom ftnd indicative, fagerstrom hsi"
Dsm Criteria Withdrawal,0.29,keybert,0.528,"dsm criteria tolerance, dsm criteria difficulty, dsm tolerance"
Cigarettes Per Day,0.376,keybert,0.745,"per day smoking, regularly cigarettes per, day cigarettes smoked"
Times,0.502,description_title,0.339,"times sedatives, times sedatives never, times hallucinogens"
Times Opiates,0.328,keybert,0.623,"times opiates never, times drugs, times cocaine"
Lifetime Yes Dsm,0.2,keybert,0.339,"lifetime yes, never times"
Trackfrac Min Trfrac,0.303,keybert,0.632,trackfrac min minimum
Scan Trackfrac,0.305,keybert,0.648,
Scan Trfrac,0.3,keybert,0.641,
